person_id,first_name,last_name,birthdate,height,weight,jersey,position,team_id,full_name,height_cm
1630173,Precious,Achiuwa,1999-09-19,6-8,225,5,Forward,1610612761,Precious Achiuwa,203.2
203500,Steven,Adams,1993-07-02,6-11,265,4,Center,1610612763,Steven Adams,210.8
1628389,Bam,Adebayo,1997-07-18,6-9,255,13,Center-Forward,1610612748,Bam Adebayo,205.7
1630534,Ochai,Agbaji,2000-04-02,6-5,215,30,Guard,1610612762,Ochai Agbaji,195.6
1630583,Santi,Aldama,2001-01-01,7-0,215,7,Forward-Center,1610612763,Santi Aldama,213.4
1629638,Nickeil,Alexander-Walker,1998-09-02,6-5,205,9,Guard,1610612750,Nickeil Alexander-Walker,195.6
1628960,Grayson,Allen,1995-10-08,6-4,198,12,Guard,1610612749,Grayson Allen,193.0
1628386,Jarrett,Allen,1998-04-21,6-9,243,31,Center,1610612739,Jarrett Allen,205.7
1630631,Jose,Alvarado,1998-04-12,6-0,179,15,Guard,1610612740,Jose Alvarado,182.9
203937,Kyle,Anderson,1993-09-02,6-9,230,5,Forward-Guard,1610612750,Kyle Anderson,205.7
203507,Giannis,Antetokounmpo,1994-12-06,7-0,243,34,Forward,1610612749,Giannis Antetokounmpo,213.4
203648,Thanasis,Antetokounmpo,1992-07-18,6-7,219,43,Forward,1610612749,Thanasis Antetokounmpo,200.7
1630175,Cole,Anthony,2000-05-15,6-3,185,50,Guard,1610612753,Cole Anthony,190.5
1628384,O.G.,Anunoby,1997-07-17,6-7,232,3,Forward,1610612761,O.G. Anunoby,200.7
201571,D.J.,Augustin,1987-11-01,5-11,183,4,Guard,1610612745,D.J. Augustin,180.3
1629028,Deandre,Ayton,1998-07-23,7-0,250,22,Center,1610612756,Deandre Ayton,213.4
1628962,Udoka,Azubuike,1999-09-17,6-11,270,20,Center-Forward,1610612762,Udoka Azubuike,210.8
1628963,Marvin,Bagley III,1999-03-14,6-10,235,35,Forward,1610612765,Marvin Bagley III,208.3
1631116,Patrick,Baldwin Jr.,2002-11-18,6-9,220,7,Forward,1610612744,Patrick Baldwin Jr.,205.7
1630163,LaMelo,Ball,2001-08-22,6-7,180,1,Guard,1610612766,LaMelo Ball,200.7
1628366,Lonzo,Ball,1997-10-27,6-6,190,2,Guard,1610612741,Lonzo Ball,198.1
1631094,Paolo,Banchero,2002-11-12,6-10,250,5,Forward,1610612753,Paolo Banchero,208.3
1630217,Desmond,Bane,1998-06-25,6-5,215,22,Guard,1610612763,Desmond Bane,195.6
1630625,Dalano,Banton,1999-11-07,6-7,204,45,Forward,1610612761,Dalano Banton,200.7
1631230,Dominick,Barlow,2003-05-26,6-9,215,26,Forward,1610612759,Dominick Barlow,205.7
