player_id,name_first,name_last,hand,dob,ioc,height,full_name
100644,Alexander,Zverev,R,1997-04-20,GER,198.0,Alexander Zverev
102093,Martin,Damm,L,2003-09-30,USA,203.0,Martin Damm
103499,Aqeel,Khan,R,1980-01-30,PAK,,Aqeel Khan
103529,Aisam Ul Haq,Qureshi,R,1980-03-17,PAK,183.0,Aisam Ul Haq Qureshi
104112,Benjamin,Balleret,R,1983-01-15,MON,185.0,Benjamin Balleret
104470,Komlavi,Loglo,R,1984-12-30,TOG,183.0,Komlavi Loglo
104527,Stan,Wawrinka,R,1985-03-28,SUI,183.0,Stan Wawrinka
104745,Rafael,Nadal,L,1986-06-03,ESP,185.0,Rafael Nadal
104755,Richard,Gasquet,R,1986-06-18,FRA,183.0,Richard Gasquet
104792,Gael,Monfils,R,1986-09-01,FRA,193.0,Gael Monfils
104898,Robin,Haase,R,1987-04-06,NED,191.0,Robin Haase
104907,Jose Rubin,Statham,R,1987-04-25,NZL,180.0,Jose Rubin Statham
104918,Andy,Murray,R,1987-05-15,GBR,191.0,Andy Murray
104925,Novak,Djokovic,R,1987-05-22,SRB,188.0,Novak Djokovic
104926,Fabio,Fognini,R,1987-05-24,ITA,178.0,Fabio Fognini
105051,Matthew,Ebden,R,1987-11-26,AUS,188.0,Matthew Ebden
105062,Mikhail,Kukushkin,R,1987-12-26,KAZ,183.0,Mikhail Kukushkin
105077,Albert,Ramos,L,1988-01-17,ESP,188.0,Albert Ramos
105138,Roberto,Bautista Agut,R,1988-04-14,ESP,183.0,Roberto Bautista Agut
105173,Adrian,Mannarino,L,1988-06-29,FRA,180.0,Adrian Mannarino
105227,Marin,Cilic,R,1988-09-28,CRO,198.0,Marin Cilic
105271,Gonzalo,Escobar,L,1989-01-20,ECU,178.0,Gonzalo Escobar
105311,Joao,Sousa,R,1989-03-30,POR,185.0,Joao Sousa
105332,Benoit,Paire,R,1989-05-08,FRA,196.0,Benoit Paire
105430,Radu,Albot,R,1989-11-11,MDA,175.0,Radu Albot
105449,Steve,Johnson,R,1989-12-24,USA,188.0,Steve Johnson
105453,Kei,Nishikori,R,1989-12-29,JPN,178.0,Kei Nishikori
105477,Marco,Trungelliti,R,1990-01-31,ARG,178.0,Marco Trungelliti
105487,Facundo,Bagnis,L,1990-02-27,ARG,183.0,Facundo Bagnis
105502,N Sriram,Balaji,R,1990-03-18,IND,180.0,N Sriram Balaji
105526,Jan Lennard,Struff,R,1990-04-25,GER,193.0,Jan Lennard Struff
105554,Daniel,Evans,R,1990-05-23,GBR,175.0,Daniel Evans
105575,Ricardas,Berankis,R,1990-06-21,LTU,175.0,Ricardas Berankis
105577,Vasek,Pospisil,R,1990-06-23,CAN,193.0,Vasek Pospisil
105583,Dusan,Lajovic,R,1990-06-30,SRB,183.0,Dusan Lajovic
105613,Norbert,Gombos,R,1990-08-13,SVK,193.0,Norbert Gombos
105621,Min Kyu,Song,R,1990-08-25,KOR,183.0,Min Kyu Song
105633,Mohamed,Safwat,R,1990-09-19,EGY,180.0,Mohamed Safwat
105656,Marcelo,Arevalo,R,1990-10-17,ESA,193.0,Marcelo Arevalo
105657,Marius,Copil,R,1990-10-17,ROU,191.0,Marius Copil
105676,David,Goffin,R,1990-12-07,BEL,180.0,David Goffin
105683,Milos,Raonic,R,1990-12-27,CAN,196.0,Milos Raonic
105714,Hugo,Nys,R,1991-02-16,MON,185.0,Hugo Nys
105731,Steven,Diez,R,1991-03-17,CAN,175.0,Steven Diez
105732,Pierre Hugues,Herbert,R,1991-03-18,FRA,188.0,Pierre Hugues Herbert
105777,Grigor,Dimitrov,R,1991-05-16,BUL,191.0,Grigor Dimitrov
105806,Mirza,Basic,R,1991-07-12,BIH,188.0,Mirza Basic
105807,Pablo,Carreno Busta,R,1991-07-12,ESP,188.0,Pablo Carreno Busta
105815,Tennys,Sandgren,R,1991-07-22,USA,188.0,Tennys Sandgren
105819,Guido,Andreozzi,R,1991-08-05,ARG,183.0,Guido Andreozzi
105870,Yannick,Hanfmann,R,1991-11-13,GER,193.0,Yannick Hanfmann
105877,Emilio,Gomez,R,1991-11-28,ECU,185.0,Emilio Gomez
105902,James,Duckworth,R,1992-01-21,AUS,183.0,James Duckworth
105906,Kevin,Krawietz,R,1992-01-24,GER,188.0,Kevin Krawietz
105911,Andrea,Collarini,L,1992-01-31,ARG,183.0,Andrea Collarini
105916,Marton,Fucsovics,R,1992-02-08,HUN,188.0,Marton Fucsovics
105938,Antoine,Escoffier,R,1992-02-29,FRA,185.0,Antoine Escoffier
105948,Federico,Coria,R,1992-03-09,ARG,180.0,Federico Coria
105985,Darian,King,R,1992-04-26,BAR,188.0,Darian King
106000,Damir,Dzumhur,R,1992-05-20,BIH,175.0,Damir Dzumhur
106005,Constant,Lestienne,R,1992-05-23,FRA,180.0,Constant Lestienne
106033,Romain,Arneodo,R,1992-08-04,MON,175.0,Romain Arneodo
106034,Yasutaka,Uchiyama,R,1992-08-05,JPN,183.0,Yasutaka Uchiyama
106043,Diego,Schwartzman,R,1992-08-16,ARG,170.0,Diego Schwartzman
106045,Denis,Kudla,R,1992-08-17,USA,180.0,Denis Kudla
106072,Alexey,Vatutin,R,1992-10-27,RUS,178.0,Alexey Vatutin
106075,Jozef,Kovalik,R,1992-11-04,SVK,183.0,Jozef Kovalik
106078,Egor,Gerasimov,R,1992-11-11,BLR,196.0,Egor Gerasimov
106085,Hamid,Reza Nadaf,R,1992-11-19,IRI,183.0,Hamid Reza Nadaf
106109,Alex,Bolt,L,1993-01-05,AUS,183.0,Alex Bolt
106121,Taro,Daniel,R,1993-01-27,JPN,191.0,Taro Daniel
106148,Roberto,Carballes Baena,R,1993-03-23,ESP,183.0,Roberto Carballes Baena
106167,Joris,De Loore,R,1993-04-21,BEL,191.0,Joris De Loore
106186,Jason,Kubler,R,1993-05-19,AUS,178.0,Jason Kubler
106187,Denis,Yevseyev,R,1993-05-22,KAZ,188.0,Denis Yevseyev
106198,Hugo,Dellien,R,1993-06-16,BOL,180.0,Hugo Dellien
106210,Jiri,Vesely,L,1993-07-10,CZE,198.0,Jiri Vesely
106214,Oscar,Otte,R,1993-07-16,GER,193.0,Oscar Otte
106218,Marcos,Giron,R,1993-07-24,USA,180.0,Marcos Giron
106220,Dimitar,Kuzmanov,R,1993-07-28,BUL,183.0,Dimitar Kuzmanov
106233,Dominic,Thiem,R,1993-09-03,AUT,185.0,Dominic Thiem
106234,Aslan,Karatsev,R,1993-09-04,RUS,185.0,Aslan Karatsev
106262,Boris,Arias,R,1993-11-09,BOL,185.0,Boris Arias
106281,Liam,Broady,L,1994-01-04,GBR,183.0,Liam Broady
106283,Mitchell,Krueger,R,1994-01-12,USA,188.0,Mitchell Krueger
106296,Gregoire,Barrere,R,1994-02-16,FRA,183.0,Gregoire Barrere
106298,Lucas,Pouille,R,1994-02-23,FRA,185.0,Lucas Pouille
106310,Alexander,Ritschard,R,1994-03-24,SUI,193.0,Alexander Ritschard
106329,Thiago,Monteiro,L,1994-05-31,BRA,183.0,Thiago Monteiro
106331,Christopher,Oconnell,R,1994-06-03,AUS,183.0,Christopher Oconnell
106368,Ramkumar,Ramanathan,R,1994-11-08,IND,188.0,Ramkumar Ramanathan
106397,Wishaya,Trongcharoenchaikul,R,1995-04-08,THA,193.0,Wishaya Trongcharoenchaikul
106398,Pedro,Cachin,R,1995-04-12,ARG,185.0,Pedro Cachin
106415,Yoshihito,Nishioka,L,1995-09-27,JPN,170.0,Yoshihito Nishioka
106421,Daniil,Medvedev,R,1996-02-11,RUS,198.0,Daniil Medvedev
106423,Thanasi,Kokkinakis,R,1996-04-10,AUS,193.0,Thanasi Kokkinakis
106426,Cristian,Garin,R,1996-05-30,CHI,185.0,Cristian Garin
106432,Borna,Coric,R,1996-11-14,CRO,188.0,Borna Coric
109303,Stefano,Napolitano,R,1995-04-11,ITA,196.0,Stefano Napolitano
109734,Skander,Mansouri,R,1995-07-23,TUN,193.0,Skander Mansouri
109739,Maximilian,Marterer,L,1995-06-15,GER,188.0,Maximilian Marterer
110751,Sebastian,Fanselow,R,1991-12-30,GER,,Sebastian Fanselow
111153,Christopher,Eubanks,R,1996-05-05,USA,201.0,Christopher Eubanks
111190,Zhizhen,Zhang,R,1996-10-16,CHN,193.0,Zhizhen Zhang
111192,Lucas,Miedler,R,1996-06-21,AUT,183.0,Lucas Miedler
111200,Elias,Ymer,R,1996-04-10,SWE,185.0,Elias Ymer
111442,Jordan,Thompson,R,1994-04-20,AUS,183.0,Jordan Thompson
111454,Li,Tu,R,1996-05-27,AUS,183.0,Li Tu
111456,Mackenzie,Mcdonald,R,1995-04-16,USA,178.0,Mackenzie Mcdonald
111460,Quentin,Halys,R,1996-10-26,FRA,191.0,Quentin Halys
111505,Enzo,Couacaud,R,1995-03-01,FRA,183.0,Enzo Couacaud
111513,Laslo,Djere,R,1995-06-02,SRB,188.0,Laslo Djere
111575,Karen,Khachanov,R,1996-05-21,RUS,198.0,Karen Khachanov
111576,Sumit,Nagal,R,1997-08-16,IND,178.0,Sumit Nagal
111581,Michael,Mmoh,R,1998-01-10,USA,188.0,Michael Mmoh
111761,Benjamin,Lock,R,1993-03-04,ZIM,198.0,Benjamin Lock
111794,Kamil,Majchrzak,R,1996-01-13,POL,180.0,Kamil Majchrzak
111797,Nicolas,Jarry,R,1995-10-11,CHI,201.0,Nicolas Jarry
111805,Seong Chan,Hong,R,1997-06-30,KOR,175.0,Seong Chan Hong
111806,Fajing,Sun,R,1996-10-03,CHN,178.0,Fajing Sun
111815,Cameron,Norrie,L,1995-08-23,GBR,188.0,Cameron Norrie
117356,Cem,Ilkel,R,1995-08-21,TUR,185.0,Cem Ilkel
117357,Omar,Jasika,L,1997-05-18,AUS,183.0,Omar Jasika
117360,Marc,Polmans,R,1997-05-02,AUS,188.0,Marc Polmans
117365,Petros,Chrysochos,R,1996-04-08,CYP,185.0,Petros Chrysochos
118808,Daniel,Vallejo,R,1984-05-21,MEX,,Daniel Vallejo
121411,Moez,Echargui,R,1993-01-10,TUN,178.0,Moez Echargui
122078,Dmitry,Popko,R,1996-10-24,KAZ,191.0,Dmitry Popko
122298,Botic,Van De Zandschulp,R,1995-10-04,NED,191.0,Botic Van De Zandschulp
122330,Alexander,Bublik,R,1997-06-17,KAZ,196.0,Alexander Bublik
122533,Nam Hoang,Ly,R,1997-02-25,VIE,175.0,Nam Hoang Ly
122554,David,Jorda Sanchis,R,1994-06-14,ESP,198.0,David Jorda Sanchis
122669,Juan Pablo,Varillas,R,1995-10-06,PER,185.0,Juan Pablo Varillas
123755,Daniel Elahi,Galan,R,1996-06-18,COL,191.0,Daniel Elahi Galan
123795,Altug,Celikbilek,R,1996-09-07,TUR,183.0,Altug Celikbilek
123809,Ivan,Gakhov,L,1996-11-04,RUS,191.0,Ivan Gakhov
123828,Jan,Choinski,R,1996-06-10,GBR,196.0,Jan Choinski
123961,Murkel Alejandro,Dellien Velasco,R,1997-09-16,BOL,193.0,Murkel Alejandro Dellien Velasco
123983,Nerman,Fatic,R,1994-10-24,BIH,191.0,Nerman Fatic
124014,Ernesto,Escobedo,R,1996-07-04,MEX,185.0,Ernesto Escobedo
124079,Pedro,Martinez,R,1997-04-26,ESP,185.0,Pedro Martinez
124116,Sebastian,Ofner,R,1996-05-12,AUT,191.0,Sebastian Ofner
124186,Alexandre,Muller,R,1997-02-01,FRA,183.0,Alexandre Muller
124187,Reilly,Opelka,R,1997-08-28,USA,211.0,Reilly Opelka
126094,Andrey,Rublev,R,1997-10-20,RUS,188.0,Andrey Rublev
126125,Maxime,Janvier,R,1996-10-18,FRA,196.0,Maxime Janvier
126127,Benjamin,Bonzi,R,1996-06-09,FRA,183.0,Benjamin Bonzi
126128,Roman,Safiullin,R,1997-08-07,RUS,185.0,Roman Safiullin
126129,Billy,Harris,R,1995-01-25,GBR,193.0,Billy Harris
126177,Strong,Kirchheimer,R,1995-04-26,USA,185.0,Strong Kirchheimer
126203,Taylor,Fritz,R,1997-10-28,USA,196.0,Taylor Fritz
126205,Tommy,Paul,R,1997-05-17,USA,185.0,Tommy Paul
126207,Frances,Tiafoe,R,1998-01-20,USA,188.0,Frances Tiafoe
126214,Alejandro,Tabilo,L,1997-06-02,CHI,188.0,Alejandro Tabilo
126239,Arthur,Rinderknech,R,1995-07-23,FRA,196.0,Arthur Rinderknech
126340,Viktor,Durasovic,R,1997-03-19,NOR,185.0,Viktor Durasovic
126409,Hugo,Grenier,R,1996-03-23,FRA,196.0,Hugo Grenier
126504,Andrea,Pellegrino,R,1997-03-23,ITA,185.0,Andrea Pellegrino
126523,Bernabe,Zapata Miralles,R,1997-01-12,ESP,183.0,Bernabe Zapata Miralles
126535,Carlos,Taberner,R,1997-08-08,ESP,183.0,Carlos Taberner
126555,Tung Lin,Wu,R,1998-05-12,TPE,188.0,Tung Lin Wu
126610,Matteo,Berrettini,R,1996-04-12,ITA,196.0,Matteo Berrettini
126646,Tim,Van Rijthoven,R,1997-04-24,NED,188.0,Tim Van Rijthoven
126762,Aleksandre,Bakshi,L,1997-07-15,GEO,180.0,Aleksandre Bakshi
126774,Stefanos,Tsitsipas,R,1998-08-12,GRE,193.0,Stefanos Tsitsipas
126845,Max,Purcell,R,1998-04-03,AUS,185.0,Max Purcell
126846,Aleksandar,Vukic,R,1996-04-06,AUS,188.0,Aleksandar Vukic
126939,Khumoun,Sultanov,R,1998-10-27,UZB,180.0,Khumoun Sultanov
126952,Soon Woo,Kwon,R,1997-12-02,KOR,180.0,Soon Woo Kwon
126964,Vitaliy,Sachko,R,1997-07-14,UKR,188.0,Vitaliy Sachko
127157,Daniel,Altmaier,R,1998-09-12,GER,188.0,Daniel Altmaier
127195,Hamza,Karmoussi,U,,MAR,,Hamza Karmoussi
127339,Borna,Gojo,R,1998-02-27,CRO,196.0,Borna Gojo
127760,Lukas,Klein,R,1998-03-22,SVK,193.0,Lukas Klein
128034,Hubert,Hurkacz,R,1997-02-11,POL,196.0,Hubert Hurkacz
131905,Manuel,Guinard,R,1995-11-15,FRA,198.0,Manuel Guinard
131934,Andrea,Vavassori,R,1995-05-05,ITA,193.0,Andrea Vavassori
131951,Daniel,Cukierman,R,1995-07-09,ISR,,Daniel Cukierman
132283,Lorenzo,Sonego,R,1995-05-11,ITA,191.0,Lorenzo Sonego
132374,Jesse,Flores,R,1995-03-31,CRC,188.0,Jesse Flores
132686,Nuno,Borges,R,1997-02-19,POR,185.0,Nuno Borges
133297,Yosuke,Watanuki,R,1998-04-12,JPN,180.0,Yosuke Watanuki
133430,Denis,Shapovalov,L,1999-04-15,CAN,185.0,Denis Shapovalov
133835,Gijs,Brouwer,L,1996-03-14,NED,191.0,Gijs Brouwer
133933,Thomas Yaka Kofi,Setodji,R,1995-10-13,TOG,183.0,Thomas Yaka Kofi Setodji
133975,Benjamin,Hassan,R,1995-02-04,LBN,183.0,Benjamin Hassan
